Time,Cd,Cl
4.0,3.16971907,0.0217439455
4.01,3.16520066,0.19513974
4.02,3.16415971,0.36178806
4.03,3.16668578,0.515534635
4.04,3.17246458,0.651318593
4.05,3.1808611,0.763845584
4.06,3.19073141,0.849242704
4.07,3.20070142,0.904397229
4.08,3.20945275,0.927681899
4.09,3.21577301,0.91857611
4.1,3.21895896,0.877271118
4.11,3.21851469,0.805635214
4.12,3.21458367,0.706031834
4.13,3.20769927,0.581927062
4.14,3.1989887,0.437343282
4.15,3.1893234,0.276976895
4.16,3.1802887,0.106169703
4.17,3.17308616,-0.0693594505
4.18,3.16865817,-0.243907166
4.19,3.1676259,-0.411307166
4.2,3.17012033,-0.565848707
4.21,3.17597398,-0.701750069
4.22,3.18432365,-0.814523482
4.23,3.19411616,-0.899919271
4.24,3.20396093,-0.955219232
4.25,3.21260275,-0.978497237
4.26,3.218827,-0.969123933
4.27,3.22178016,-0.927385647
4.28,3.22110701,-0.855172768
4.29,3.21686312,-0.754656911
4.3,3.20961269,-0.629286722
4.31,3.20048127,-0.483278106
4.32,3.19051088,-0.321278847
4.33,3.18113162,-0.148222634
4.34,3.17376991,0.0293860895
4.35,3.16923285,0.206295974
4.36,3.16829102,0.37577379
4.37,3.17107943,0.531901758
4.38,3.17725069,0.669253059
4.39,3.18595395,0.782998092
4.4,3.19611798,0.868622275
4.41,3.20636225,0.923285267
4.42,3.21522263,0.945529139
4.43,3.2215188,0.934513089
4.44,3.22446094,0.891094757
4.45,3.22372114,0.816722978
4.46,3.21937368,0.714182046
4.47,3.21201996,0.586924092
4.48,3.20283978,0.439111039
4.49,3.19282914,0.275574467
4.5,3.18350563,0.101673675
4.51,3.17616958,-0.0767222695
4.52,3.17174645,-0.253667615
4.53,3.17082135,-0.42324932
4.54,3.17354652,-0.579538308
4.55,3.17965925,-0.716585636
4.56,3.18828971,-0.829880762
4.57,3.19835003,-0.915136883
4.58,3.20835307,-0.970013033
4.59,3.21706718,-0.992113355
4.6,3.22321389,-0.981268851
4.61,3.22598481,-0.93754094
4.62,3.22503739,-0.863140149
4.63,3.22046805,-0.760252146
4.64,3.21284377,-0.632277363
4.65,3.20332812,-0.483679822
4.66,3.19308884,-0.319125962
4.67,3.18349031,-0.143644744
4.68,3.17604482,0.0362328069
4.69,3.17155201,0.214966645
4.7,3.17070292,0.386055866
4.71,3.17372126,0.543382519
4.72,3.18011847,0.681439905
4.73,3.1890851,0.795365728
4.74,3.19942035,0.88074828
4.75,3.20979424,0.934746868
4.76,3.21873991,0.955841992
4.77,3.22491077,0.943382892
4.78,3.22768623,0.898270696
4.79,3.2266902,0.821989601
4.8,3.22207234,0.717395751
4.81,3.21440789,0.588079516
4.82,3.20490767,0.43815162
4.83,3.19471585,0.272595178
4.84,3.18526892,0.0968538877
