Time          ,Rotational Speed (units),Cd,Cl
4,0,0.751947966,-0.263718685
4.01,3.5267,0.717074927,-0.137326312
4.02,5.7063,0.704395763,0.038357552
4.03,5.7063,0.717065156,0.18925829
4.04,3.5267,0.736425665,0.259881602
4.05,0,0.700823593,0.253334054
4.06,3.5267,0.663265045,0.104648207
4.07,5.7063,0.692181105,-0.116082756
4.08,5.7063,0.75479213,-0.254989057
4.09,3.5267,0.784448741,-0.289664173
4.1,0,0.75194957,-0.26370421
4.11,3.5267,0.717076127,-0.137312269
4.12,5.7063,0.704394142,0.038366605
4.13,5.7063,0.717062864,0.189262771
4.14,3.5267,0.736421259,0.259884359
4.15,0,0.700820276,0.253335211
4.16,3.5267,0.663262657,0.104649165
4.17,5.7063,0.69217933,-0.116085298
4.18,5.7063,0.754790257,-0.254992621
4.19,3.5267,0.784446986,-0.289669874
4.2,0,0.751946587,-0.263710984
4.21,3.5267,0.717073376,-0.137319463
4.22,5.7063,0.704391851,0.038362404
4.23,5.7063,0.717062512,0.189253829
4.24,3.5267,0.736421666,0.259873502
4.25,0,0.700820867,0.253323066
4.26,3.5267,0.663263264,0.104638894
4.27,5.7063,0.692178334,-0.116093213
4.28,5.7063,0.754788054,-0.255000212
4.29,3.5267,0.784443383,-0.289676778
4.3,0,0.751943468,-0.263717079
4.31,3.5267,0.717071186,-0.137325265
4.32,5.7063,0.704391056,0.038357331
4.33,5.7063,0.717061455,0.189252585
4.34,3.5267,0.736421667,0.259873129
4.35,0,0.700819943,0.253325327
4.36,3.5267,0.663262019,0.10464131
4.37,5.7063,0.692177531,-0.116089119
4.38,5.7063,0.754787591,-0.254995205
4.39,3.5267,0.784443275,-0.289670141
4.4,0,0.751943871,-0.263709919
4.41,3.5267,0.717071765,-0.13731811
4.42,5.7063,0.704390627,0.038361687
4.43,5.7063,0.7170599,0.189257858
4.44,3.5267,0.736419084,0.259878787
4.45,0,0.700817577,0.25333125
4.46,3.5267,0.663259965,0.104646694
4.47,5.7063,0.692176586,-0.116085275
4.48,5.7063,0.754787273,-0.254991892
4.49,3.5267,0.784443695,-0.289667292
4.5,0,0.751943738,-0.263707706
4.51,3.5267,0.717071473,-0.137316159
4.52,5.7063,0.704389549,0.038363458
4.53,5.7063,0.717059379,0.189256145
4.54,3.5267,0.736418037,0.259875614
4.55,0,0.700817084,0.253327326
4.56,3.5267,0.663259751,0.104643306
4.57,5.7063,0.692175958,-0.116089112
4.58,5.7063,0.754786163,-0.254995871
4.59,3.5267,0.784442123,-0.289671824
4.6,0,0.751941955,-0.263712364
4.61,3.5267,0.717070014,-0.137320772
4.62,5.7063,0.704388795,0.03836024
4.63,5.7063,0.717059167,0.189252903
4.64,3.5267,0.73641865,0.25987233
4.65,0,0.700817266,0.253324336
4.66,3.5267,0.663259785,0.104640815
4.67,5.7063,0.692175586,-0.116090239
4.68,5.7063,0.754785508,-0.254996575
4.69,3.5267,0.784441145,-0.289671765
4.7,0,0.751941341,-0.263711838
4.71,3.5267,0.717069709,-0.137320168
4.72,5.7063,0.70438861,0.038360146
4.73,5.7063,0.71705848,0.189254564
4.74,3.5267,0.736417833,0.259874777
4.75,0,0.700816348,0.253327334
4.76,3.5267,0.663258848,0.104643584
4.77,5.7063,0.692175165,-0.116087452
4.78,5.7063,0.754785453,-0.254993725
4.79,3.5267,0.784441474,-0.289668595
4.8,0,0.751941646,-0.263708741
4.81,3.5267,0.717069958,-0.137317142
4.82,5.7063,0.704388263,0.038362227
4.83,5.7063,0.717057958,0.189255748
4.84,3.5267,0.736416667,0.25987509
4.85,0,0.700815582,0.253327958
4.86,3.5267,0.663258272,0.104644198
4.87,5.7063,0.692174784,-0.11608757
4.88,5.7063,0.754785106,-0.254994093
4.89,3.5267,0.784441209,-0.289669356
4.9,0,0.751941127,-0.263709753
4.91,3.5267,0.717069461,-0.137318221
4.92,5.7063,0.704387783,0.038361651
4.93,5.7063,0.717057857,0.189254073
4.94,3.5267,0.736416612,0.25987271
4.95,0,0.70081565,0.253325613
4.96,3.5267,0.66325836,0.104642159
4.97,5.7063,0.692174569,-0.116089265
4.98,5.7063,0.754784635,-0.254995701
4.99,3.5267,0.784440464,-0.289670895
5,0,0.75194045,-0.263711168
5.01,3.5267,0.717068971,-0.137319587
5.02,5.7063,0.704387586,0.038360529
5.03,5.7063,0.717057659,0.189253628
5.04,3.5267,0.736416667,0.259872837
5.05,0,0.700815507,0.253325754
5.06,3.5267,0.663258149,0.104642363
5.07,5.7063,0.692174397,-0.116088629
5.08,5.7063,0.754784504,-0.254994894
5.09,3.5267,0.784440367,-0.289669752
5.1,0,0.751940471,-0.263709899
5.11,3.5267,0.717069046,-0.137318312
5.12,5.7063,0.704387495,0.038361263
5.13,5.7063,0.717057334,0.189254661
5.14,3.5267,0.736416072,0.259873864
5.15,0,0.700815026,0.253327019
5.16,3.5267,0.663257721,0.104643523
5.17,5.7063,0.692174201,-0.116087745
5.18,5.7063,0.754784445,-0.254994092
5.19,3.5267,0.784440467,-0.289669004
5.2,0,0.751940473,-0.263709266
5.21,3.5267,0.717069016,-0.137317726
5.22,5.7063,0.704387284,0.038361745
5.23,5.7063,0.717057202,0.189254473
5.24,3.5267,0.736415741,0.259873126
5.25,0,0.70081488,0.253326398
5.26,3.5267,0.663257638,0.104642997
5.27,5.7063,0.692174063,-0.116088405
5.28,5.7063,0.754784227,-0.254994813
5.29,3.5267,0.784440176,-0.289669844
5.3,0,0.751940126,-0.263710146
